Brand,Car Name,Body Type,Seats,Fuel Type,Price_Lakh,Mileage_kmpl,Power_BHP,Safety_Stars,Rating_is,Price_Bucket,image_url
Audi,Audi Q7,SUV,7.0,Petrol,88.66,15.025,335.0,5.0,4.5,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Audi_q7_front_white.jpg/960px-Audi_q7_front_white.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi Q5,SUV,5.0,Petrol,65.51,13.0,261.0,5.0,4.7,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Audi_Q5_Sportback_GU_DSC_9270.jpg/960px-Audi_Q5_Sportback_GU_DSC_9270.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi S5 Sportback,Coupe,5.0,Petrol,77.32,10.0,349.0,5.0,4.7,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Red_Audi_S5_Sportback_IAA_2009.JPG/960px-Red_Audi_S5_Sportback_IAA_2009.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi Q8,SUV,5.0,Petrol,117.0,15.025,335.0,5.0,4.7,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Felicidade_A_very_happy_boy.jpg/960px-Felicidade_A_very_happy_boy.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi e-tron GT,Sedan,4.0,Petrol,172.0,14.556333333333331,478.33651368239606,5.0,4.8,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Audi_e-tron_GT_1X7A0297.jpg/960px-Audi_e-tron_GT_1X7A0297.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi Q3 Sportback,SUV,5.0,Petrol,54.65,15.025,193.0,5.0,4.7,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Audi_Q3_Sportback_IMG_3505.jpg/960px-Audi_Q3_Sportback_IMG_3505.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi RS5,Coupe,4.0,Petrol,113.0,10.0,444.0,5.0,4.8,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Audi_RS5%2C_Binz_%28P1090702%29.jpg/960px-Audi_RS5%2C_Binz_%28P1090702%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi RS Q8,SUV,5.0,Petrol,222.00000000000003,15.025,648.0,5.0,4.7,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Felicidade_A_very_happy_boy.jpg/960px-Felicidade_A_very_happy_boy.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi A8 L,Sedan,5.0,Petrol,134.0,14.556333333333331,478.33651368239606,5.0,4.8,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Audi_A8_L_D5_IMG_0066.jpg/960px-Audi_A8_L_D5_IMG_0066.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi Q8 Sportback e-tron,SUV,5.0,Petrol,119.0,14.759558823529412,478.33651368239606,5.0,4.7,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Audi_e-tron_Sportback_1X7A6780.jpg/960px-Audi_e-tron_Sportback_1X7A6780.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Audi,Audi Q8 e-tron,SUV,5.0,Petrol,115.0,14.759558823529412,478.33651368239606,5.0,4.7,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Audi_Q8_e-tron_Sportback_1X7A7094.jpg/960px-Audi_Q8_e-tron_Sportback_1X7A7094.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Nissan,Nissan Magnite,SUV,5.0,Petrol,8.635,18.0,85.0,5.0,4.5,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Nissan_Magnite_01.jpg/960px-Nissan_Magnite_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Nissan,Nissan X-Trail,SUV,7.0,Petrol,49.92,13.0,161.0,5.0,2.7,30-50L,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Nissan_X-Trail_%28T33%29_1X7A7179.jpg/960px-Nissan_X-Trail_%28T33%29_1X7A7179.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
BYD,BYD Atto 3,SUV,5.0,Petrol,24.99,14.759558823529412,3100.0,5.0,3.9,20-30L,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/BYD_Atto_3_1X7A6495.jpg/960px-BYD_Atto_3_1X7A6495.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
BYD,BYD Seal,Sedan,5.0,Petrol,41.0,14.556333333333331,3100.0,5.0,4.7,30-50L,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/BYD_Seal_U_IAA_2023_1X7A0045.jpg/960px-BYD_Seal_U_IAA_2023_1X7A0045.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
BYD,BYD Sealion 7,SUV,5.0,Electric,48.9,15.70165456048878,478.33651368239606,5.0,4.8,30-50L,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/BYD_Sealion_07_EV_DSC_8264.jpg/960px-BYD_Sealion_07_EV_DSC_8264.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
BYD,BYD eMax 7,MPV,7.0,Electric,26.9,15.70165456048878,478.33651368239606,5.0,4.5,20-30L,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/BYD_eMAX_7_Superior_Captain_Crystal_White.jpg/960px-BYD_eMAX_7_Superior_Captain_Crystal_White.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
